Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
chatgpt,(default package),LRUCache,LRUCache,Magic Number,The method contains a magic number: 0.75f,8
chatgpt,(default package),ShoppingCartTest,testAddItem_validItem,Magic Number,The method contains a magic number: 2,14
chatgpt,(default package),ShoppingCartTest,testAddItem_validItem,Magic Number,The method contains a magic number: 2,14
chatgpt,(default package),ShoppingCartTest,testAddItem_duplicateItemAddsQuantity,Magic Number,The method contains a magic number: 2,28
chatgpt,(default package),ShoppingCartTest,testAddItem_duplicateItemAddsQuantity,Magic Number,The method contains a magic number: 3,28
chatgpt,(default package),ShoppingCartTest,testAddItem_duplicateItemAddsQuantity,Magic Number,The method contains a magic number: 5,28
chatgpt,(default package),ShoppingCartTest,testRemoveItem_existingItem,Magic Number,The method contains a magic number: 2,35
chatgpt,(default package),ShoppingCartTest,testGetTotal_noItems,Magic Number,The method contains a magic number: 0.001,47
chatgpt,(default package),ShoppingCartTest,testGetTotal_withItems,Magic Number,The method contains a magic number: 2,52
chatgpt,(default package),ShoppingCartTest,testGetTotal_withItems,Magic Number,The method contains a magic number: 40,52
chatgpt,(default package),ShoppingCartTest,testGetTotal_withItems,Magic Number,The method contains a magic number: 0.001,52
chatgpt,(default package),ShoppingCartTest,testApplyDiscount_validDiscount,Magic Number,The method contains a magic number: 3,59
chatgpt,(default package),ShoppingCartTest,testApplyDiscount_validDiscount,Magic Number,The method contains a magic number: 10,59
chatgpt,(default package),ShoppingCartTest,testApplyDiscount_validDiscount,Magic Number,The method contains a magic number: 27,59
chatgpt,(default package),ShoppingCartTest,testApplyDiscount_validDiscount,Magic Number,The method contains a magic number: 0.001,59
chatgpt,(default package),ShoppingCartTest,testApplyDiscount_zeroDiscount,Magic Number,The method contains a magic number: 3,66
chatgpt,(default package),ShoppingCartTest,testApplyDiscount_zeroDiscount,Magic Number,The method contains a magic number: 30,66
chatgpt,(default package),ShoppingCartTest,testApplyDiscount_zeroDiscount,Magic Number,The method contains a magic number: 0.001,66
chatgpt,(default package),ShoppingCartTest,testApplyDiscount_fullDiscount,Magic Number,The method contains a magic number: 3,73
chatgpt,(default package),ShoppingCartTest,testApplyDiscount_fullDiscount,Magic Number,The method contains a magic number: 100,73
chatgpt,(default package),ShoppingCartTest,testApplyDiscount_fullDiscount,Magic Number,The method contains a magic number: 0.001,73
chatgpt,(default package),ShoppingCartTest,testApplyDiscount_negativeDiscount,Magic Number,The method contains a magic number: 5,80
chatgpt,(default package),ShoppingCartTest,testApplyDiscount_over100Discount,Magic Number,The method contains a magic number: 105,88
chatgpt,(default package),ShoppingCartTest,testEdgeCase_emptyCartDiscount,Magic Number,The method contains a magic number: 10,96
chatgpt,(default package),ShoppingCartTest,testEdgeCase_emptyCartDiscount,Magic Number,The method contains a magic number: 0.001,96
chatgpt,(default package),ShoppingCartTest,testEdgeCase_removeItemReducesTotal,Magic Number,The method contains a magic number: 2,102
chatgpt,(default package),ShoppingCartTest,testEdgeCase_removeItemReducesTotal,Magic Number,The method contains a magic number: 20,102
chatgpt,(default package),ShoppingCartTest,testEdgeCase_removeItemReducesTotal,Magic Number,The method contains a magic number: 0.001,102
chatgpt,(default package),UserRegistrationForm,UserRegistrationForm,Magic Number,The method contains a magic number: 400,20
chatgpt,(default package),UserRegistrationForm,UserRegistrationForm,Magic Number,The method contains a magic number: 400,20
chatgpt,(default package),UserRegistrationForm,UserRegistrationForm,Magic Number,The method contains a magic number: 7,20
chatgpt,(default package),UserRegistrationForm,UserRegistrationForm,Magic Number,The method contains a magic number: 2,20
chatgpt,(default package),UserRegistrationForm,UserRegistrationForm,Magic Number,The method contains a magic number: 10,20
chatgpt,(default package),UserRegistrationForm,UserRegistrationForm,Magic Number,The method contains a magic number: 10,20
chatgpt,(default package),UserRegistrationForm,handleSubmit,Complex Method,Cyclomatic complexity of the method is 9,77
