Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
chatgpt,(default package),LRUCache,LRUCache,9,1,1,8,0,,
chatgpt,(default package),LRUCache,removeEldestEntry,3,1,1,11,0,,
chatgpt,(default package),LRUCache,put,3,1,2,19,0,,
chatgpt,(default package),LRUCache,get,3,1,1,24,0,,
chatgpt,(default package),LRUCache,remove,3,1,1,29,0,,
chatgpt,(default package),LRUCache,clear,3,1,0,34,0,,
chatgpt,(default package),LRUCache,size,3,1,0,39,0,,
chatgpt,(default package),LRUCache,containsKey,3,1,1,44,0,,
chatgpt,(default package),LRUCache,printCache,3,1,0,49,0,,
chatgpt,(default package),ShoppingCartTest,setUp,3,1,0,9,0,,
chatgpt,(default package),ShoppingCartTest,testAddItem_validItem,4,1,0,14,1,,
chatgpt,(default package),ShoppingCartTest,testAddItem_invalidQuantity,7,1,0,20,1,,
chatgpt,(default package),ShoppingCartTest,testAddItem_duplicateItemAddsQuantity,5,1,0,28,1,,
chatgpt,(default package),ShoppingCartTest,testRemoveItem_existingItem,5,1,0,35,1,,
chatgpt,(default package),ShoppingCartTest,testRemoveItem_nonExistingItem,3,1,0,42,1,,
chatgpt,(default package),ShoppingCartTest,testGetTotal_noItems,3,1,0,47,1,,
chatgpt,(default package),ShoppingCartTest,testGetTotal_withItems,5,1,0,52,1,,
chatgpt,(default package),ShoppingCartTest,testApplyDiscount_validDiscount,5,1,0,59,1,,
chatgpt,(default package),ShoppingCartTest,testApplyDiscount_zeroDiscount,5,1,0,66,1,,
chatgpt,(default package),ShoppingCartTest,testApplyDiscount_fullDiscount,5,1,0,73,1,,
chatgpt,(default package),ShoppingCartTest,testApplyDiscount_negativeDiscount,7,1,0,80,1,,
chatgpt,(default package),ShoppingCartTest,testApplyDiscount_over100Discount,7,1,0,88,1,,
chatgpt,(default package),ShoppingCartTest,testEdgeCase_emptyCartDiscount,4,1,0,96,1,,
chatgpt,(default package),ShoppingCartTest,testEdgeCase_removeItemReducesTotal,6,1,0,102,1,,
chatgpt,(default package),UserRegistrationForm,UserRegistrationForm,41,1,0,20,0,,
chatgpt,(default package),UserRegistrationForm,actionPerformed,3,1,1,68,0,,
chatgpt,(default package),UserRegistrationForm,handleSubmit,42,9,0,77,0,,
chatgpt,(default package),UserRegistrationForm,main,3,1,1,122,0,,
