Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
claude,(default package),LRUCache,LRUCache,9,2,1,13,0,,
claude,(default package),LRUCache,put,17,3,2,29,0,,
claude,(default package),LRUCache,get,24,3,1,62,0,,
claude,(default package),LRUCache,remove,13,2,1,93,0,,
claude,(default package),LRUCache,size,9,1,0,113,0,,
claude,(default package),LRUCache,clear,10,1,0,126,0,,
claude,(default package),RegistrationForm,RegistrationForm,73,2,0,21,0,,
claude,(default package),RegistrationForm,actionPerformed,5,2,1,107,0,,
claude,(default package),RegistrationForm,validateForm,32,8,0,121,0,,
claude,(default package),RegistrationForm,main,8,1,1,165,0,,
claude,(default package),RegistrationForm,run,3,1,0,167,0,,
claude,(default package),ShoppingCartTest,setUp,3,1,0,14,0,,
claude,(default package),ShoppingCartTest,addItem_ValidQuantity_Success,4,1,0,19,1,,
claude,(default package),ShoppingCartTest,addItem_ZeroQuantity_ThrowsException,4,1,0,26,1,,
claude,(default package),ShoppingCartTest,addItem_NegativeQuantity_ThrowsException,4,1,0,35,1,,
claude,(default package),ShoppingCartTest,addItem_NullItemId_ThrowsException,3,1,0,44,1,,
claude,(default package),ShoppingCartTest,addItem_ExistingItem_UpdatesQuantity,5,1,0,52,1,,
claude,(default package),ShoppingCartTest,removeItem_ExistingItem_Success,5,1,0,60,1,,
claude,(default package),ShoppingCartTest,removeItem_NonExistentItem_ThrowsException,3,1,0,68,1,,
claude,(default package),ShoppingCartTest,removeItem_NullItemId_ThrowsException,3,1,0,76,1,,
claude,(default package),ShoppingCartTest,getTotal_MultipleItems_CorrectTotal,5,1,0,84,1,,
claude,(default package),ShoppingCartTest,getTotal_EmptyCart_ReturnsZero,3,1,0,92,1,,
claude,(default package),ShoppingCartTest,applyDiscount_ValidPercentage_Success,6,1,1,98,0,,
claude,(default package),ShoppingCartTest,applyDiscount_NegativePercentage_ThrowsException,4,1,0,108,1,,
claude,(default package),ShoppingCartTest,applyDiscount_OverHundredPercentage_ThrowsException,4,1,0,117,1,,
claude,(default package),ShoppingCartTest,applyDiscount_EmptyCart_Success,4,1,0,126,1,,
claude,(default package),ShoppingCartTest,complexScenario_MultipleOperations_CorrectTotal,7,1,0,133,1,,
